trialnum	subject	session	basicShape	numObjects	speed	initialDirRing0	fixatnPeriodFrames	orderCorrect	trialDurTotal	numTargets	whichIsTargetEachRing0	whichIsTargetEachRing1	whichIsTargetEachRing2	ringToQuery	direction0	direction1	direction2	respAdj0	respAdj1	respAdj2	rev0_0	rev0_1	rev0_2	rev0_3	rev0_4	rev0_5	rev0_6	rev0_7	rev0_8	rev1_0	rev1_1	rev1_2	rev1_3	rev1_4	rev1_5	rev1_6	rev1_7	rev1_8	rev2_0	rev2_1	rev2_2	rev2_3	rev2_4	rev2_5	rev2_6	rev2_7	rev2_8	timingBlips	numLongFramesAfterFixation	numLongFramesAfterCue
55	a99	b	circle	4	0.891406250000017	1	86	3 	 3.688960277476613 	 2 	 3.0	3.0	3.0	0	1	-1	-1	-0.0	-999	-999	1.9253 	2.615 	3.7924 	5.4434 	-999	-999	-999	-999	-999	2.8793 	4.7674 	-999	-999	-999	-999	-999	-999	-999	2.6003 	3.8174 	5.2772 	-999	-999	-999	-999	-999	-999	1	0	0
56	a99	b	circle	8	0.2914062500000085	1	98	3 	 4.871981580266104 	 2 	 3.0	0.0	6.0	1	1	-1	-1	-999	0.0	-999	2.6937 	3.5872 	5.1848 	-999	-999	-999	-999	-999	-999	3.0399 	3.8169 	4.5457 	5.2019 	-999	-999	-999	-999	-999	3.1421 	5.0397 	5.9179 	-999	-999	-999	-999	-999	-999	2	0	0
57	a99	b	circle	8	0.39140624999998863	-1	93	0 	 3.4958443043448497 	 3 	 2.0	4.0	7.0	0	-1	1	-1	3.0	-999	-999	1.8574 	3.5558 	5.4929 	-999	-999	-999	-999	-999	-999	2.2135 	3.0103 	4.4995 	-999	-999	-999	-999	-999	-999	2.4938 	3.9214 	-999	-999	-999	-999	-999	-999	-999	3	0	0
58	a99	b	circle	4	0.4914062500000256	1	114	3 	 4.330290804793492 	 3 	 2.0	3.0	3.0	0	1	-1	-1	0.0	-999	-999	2.8382 	4.2485 	5.0844 	-999	-999	-999	-999	-999	-999	2.4394 	3.9108 	5.1657 	-999	-999	-999	-999	-999	-999	2.8915 	3.4356 	4.1567 	4.915 	-999	-999	-999	-999	-999	3	0	0
59	a99	b	circle	4	0.891406250000017	1	88	3 	 4.262347540195178 	 2 	 2.0	0.0	0.0	1	1	-1	-1	-999	-0.0	-999	2.1221 	3.0731 	4.1592 	5.9016 	-999	-999	-999	-999	-999	1.9098 	3.8851 	4.9482 	-999	-999	-999	-999	-999	-999	2.7108 	3.2534 	3.7875 	5.7291 	-999	-999	-999	-999	-999	1	0	0
60	a99	b	circle	8	0.2914062500000085	1	125	3 	 4.2617895506739405 	 2 	 6.0	7.0	7.0	1	1	-1	-1	-999	0.0	-999	2.6964 	3.208 	4.7231 	-999	-999	-999	-999	-999	-999	1.8408 	2.6938 	4.4307 	5.7705 	-999	-999	-999	-999	-999	2.4857 	3.04 	3.8894 	5.2321 	-999	-999	-999	-999	-999	4	0	0
61	a99	b	circle	4	0.5914062500000199	-1	126	3 	 3.6328024535730665 	 3 	 1.0	3.0	3.0	2	-1	1	-1	-999	-999	0.0	2.6503 	3.826 	4.5322 	-999	-999	-999	-999	-999	-999	2.2169 	3.6285 	4.9116 	-999	-999	-999	-999	-999	-999	2.5789 	4.1493 	-999	-999	-999	-999	-999	-999	-999	1	0	0
62	a99	b	circle	4	0.891406250000017	-1	126	3 	 5.007350098987142 	 2 	 0.0	2.0	2.0	0	-1	1	-1	0.0	-999	-999	3.1314 	4.1236 	4.9713 	5.5875 	-999	-999	-999	-999	-999	2.7183 	4.1861 	5.8354 	-999	-999	-999	-999	-999	-999	2.4451 	3.9558 	5.4916 	-999	-999	-999	-999	-999	-999	1	0	0
63	a99	b	circle	4	0.02	-1	102	3 	 4.634139843571373 	 2 	 2.0	1.0	1.0	2	-1	1	-1	-999	-999	0.0	1.927 	3.8039 	4.7916 	5.716 	-999	-999	-999	-999	-999	1.7184 	2.3294 	3.1534 	4.0775 	5.9484 	-999	-999	-999	-999	2.7048 	3.503 	4.46 	6.3241 	-999	-999	-999	-999	-999	3	0	0
64	a99	b	circle	8	0.1	-1	89	3 	 4.702470911096965 	 3 	 0.0	5.0	2.0	2	-1	1	-1	-999	-999	0.0	2.29 	3.3681 	4.7875 	6.0341 	-999	-999	-999	-999	-999	2.5158 	3.0294 	3.611 	4.5668 	6.0507 	-999	-999	-999	-999	2.5149 	3.6969 	4.7622 	5.3033 	-999	-999	-999	-999	-999	1	0	0
